fid,id,size_ha,start_date,end_date,longitude,latitude,source,code,period,name,tell
"1",TBS_1_0_0,45,-900,-300,40.58698816,36.7377493,Ur and Wilkinson 2008,TBS,Iron Age,Tell Beydar,true
"3",TBS_1_0_0,45,-1600,-1200,40.58698816,36.7377493,Ur and Wilkinson 2008,TBS,Late Bronze Age,Tell Beydar,true
"4",TBS_1_0_0,24,-2550,-2100,40.58698816,36.7377493,Ur and Wilkinson 2008,TBS,Late Third Millennium,Tell Beydar,true
"7",TBS_11_0_0,0.393999,-1200,-550,40.6629578,36.71843078,Ur and Wilkinson 2008,TBS,Iron Age,,
"8",TBS_11_0_0,0.393999,-1600,-1200,40.6629578,36.71843078,Ur and Wilkinson 2008,TBS,Late Bronze Age,,
"9",TBS_13_0_0,1.812999,-1200,-550,40.71826544,36.74722038,Ur and Wilkinson 2008,TBS,Iron Age,,
"10",TBS_13_0_0,1.812999,-1600,-1200,40.71826544,36.74722038,Ur and Wilkinson 2008,TBS,Late Bronze Age,,
"11",TBS_14_0_0,0.77,-1200,-550,40.71311894,36.73548612,Ur and Wilkinson 2008,TBS,Iron Age,,
"12",TBS_16_0_0,0.797998,-1200,-600,40.60848654,36.67467911,Ur and Wilkinson 2008,TBS,Iron Age,,
"13",TBS_18_0_0,1.078999,-1200,-600,40.6196581,36.66634297,Ur and Wilkinson 2008,TBS,Iron Age,,
"14",TBS_21_0_0,1.320999,-1200,-550,40.66359774,36.68209366,Ur and Wilkinson 2008,TBS,Iron Age,,
"15",TBS_22_0_0,2.977999,-1200,-550,40.69655235,36.69236008,Ur and Wilkinson 2008,TBS,Iron Age,Bergul al-Buz,true
"16",TBS_22_0_0,2.977999,-1600,-1200,40.69655235,36.69236008,Ur and Wilkinson 2008,TBS,Late Bronze Age,Bergul al-Buz,true
"17",TBS_23_0_0,1.789999,-1200,-550,40.51496356,36.71645183,Ur and Wilkinson 2008,TBS,Iron Age,,
"18",TBS_24_0_0,0.639999,-900,-600,40.60283632,36.75063933,Ur and Wilkinson 2008,TBS,Iron Age,,
"19",TBS_25_0_0,1.292,-1200,-550,40.63679459,36.75229415,Ur and Wilkinson 2008,TBS,Iron Age,,
"20",TBS_27_0_0,0.580999,-1200,-550,40.61598001,36.75228428,Ur and Wilkinson 2008,TBS,Iron Age,,
"21",TBS_29_0_0,1.6,-1200,-550,40.60755486,36.76588839,Ur and Wilkinson 2008,TBS,Iron Age,Tell Rashid,true
"22",TBS_3_0_0,2.878,-1200,-550,40.57860522,36.69428242,Ur and Wilkinson 2008,TBS,Iron Age,,
"23",TBS_30_0_0,1.781,-1200,-550,40.61220316,36.7640699,Ur and Wilkinson 2008,TBS,Iron Age,,
"24",TBS_31_0_0,1.975,-1200,-550,40.60637273,36.79294732,Ur and Wilkinson 2008,TBS,Iron Age,,
"25",TBS_32_0_0,3.188,-1200,-550,40.62990359,36.78132706,Ur and Wilkinson 2008,TBS,Iron Age,Tell Khatun,true
"26",TBS_32_0_0,1.654,-2550,-2000,40.62990359,36.78132706,Ur and Wilkinson 2008,TBS,Late Third Millennium,Tell Khatun,true
"27",TBS_35_0_0,2.453999,-2550,-2000,40.64630874,36.80010979,Ur and Wilkinson 2008,TBS,Late Third Millennium,Gir Doud,true
"28",TBS_37_0_0,1.172,-2550,-2000,40.65869184,36.82285267,Ur and Wilkinson 2008,TBS,Late Third Millennium,Tell Ghazal,true
"29",TBS_37_0_0,1.143,-1200,-550,40.65869184,36.82285267,Ur and Wilkinson 2008,TBS,Iron Age,Tell Ghazal,true
"30",TBS_37_0_0,1.143,-1600,-1400,40.65869184,36.82285267,Ur and Wilkinson 2008,TBS,Late Bronze Age,Tell Ghazal,true
"31",TBS_39_0_0,3.885999,-1200,-550,40.59215018,36.84689049,Ur and Wilkinson 2008,TBS,Iron Age,Tell Sekar Fawqani,true
"32",TBS_39_0_0,3.885999,-1600,-1200,40.59215018,36.84689049,Ur and Wilkinson 2008,TBS,Late Bronze Age,Tell Sekar Fawqani,true
"33",TBS_39_0_0,3.885999,-2550,-2000,40.59215018,36.84689049,Ur and Wilkinson 2008,TBS,Late Third Millennium,Tell Sekar Fawqani,true
"34",TBS_4_0_0,2.929998,-2550,-2000,40.59730575,36.71033414,Ur and Wilkinson 2008,TBS,Late Third Millennium,Tell Rajab,true
"35",TBS_4_0_0,0.811999,-1200,-550,40.59730575,36.71033414,Ur and Wilkinson 2008,TBS,Iron Age,Tell Rajab,true
"36",TBS_40_0_0,1.014999,-2550,-2000,40.59830976,36.82681266,Ur and Wilkinson 2008,TBS,Late Third Millennium,Tell Sekar Wastani,true
"37",TBS_40_0_0,0.753,-1600,-1200,40.59830976,36.82681266,Ur and Wilkinson 2008,TBS,Late Bronze Age,Tell Sekar Wastani,true
